sample_id	cheese_full_type	animal_origin	milk_treatment	cheese_classification	country	region	colection_year	clinical_source	clinical_freq
ERR1100918.fa	Animal				France				45.2
ERR1100954.fa	Human				France			CNS infection	61.5
ERR1100942.fa	Human				France			CNS infection	61.5
ERR1100913.fa	Human				France			CNS infection	61.5
ERR1100951.fa	Human							CNS infection	61.5
ERR1100923.fa	Human				France			Bacteremia	41.9
ERR1100924.fa	Human				France			Bacteremia	58.1
ERR1100922.fa	Food				Colombia				
ERR1100932.fa	Food				Tunisia				58.2
ERR1100948.fa	Human								21.7
ERR1100933.fa	Food								7
ERR1100947.fa	Human				France			Bacteremia	7
ERR1100966.fa	Animal								7
ERR1100919.fa	Animal				France				7
ERR1100974.fa					France			MN infection	7
ERR1100946.fa	Human				France			Bacteremia	29.3
ERR1100937.fa	Human				France			MN infection	46.2
ERR1100920.fa	Animal				France 				46.2
ERR1100917.fa	Animal				France				32.2
ERR1100945.fa	Human								32.2
ERR1100952.fa	Human				France			CNS infection	
ERR1100961.fa	Food								0
ERR1100962.fa	Food								0
ERR1100963.fa	Food								0
ERR1100964.fa	Food (cheese)								0
ERR1100929.fa	Environment				Colombia				
ERR1100928.fa	Human				France			Bacteremia	25
ERR1100931.fa	Animal								20.3
ERR1100927.fa	Human								35.9
ERR1100958.fa	Food (pork)								2.6
ERR1100959.fa	Food (pork, production environment)								2.6
ERR1100960.fa	Food (ready-to-eat food, production environment)								2.6
ERR1100926.fa	Human				France			Bacteremia	31
ERR1100925.fa	Human				France			CNS infection	40.7
ERR1100914.fa	Animal				France				68.2
ERR1100949.fa	Human				France			CNS infection	68.2
ERR1100953.fa									68.2
ERR1100940.fa	Human				France			Bacteremia	45
ERR1100915.fa	Human								45
ERR1100955.fa	Human				France				
ERR1100969.fa	Animal								16
ERR1100916.fa	Animal				France				16
ERR1100971.fa	Animal								16
ERR1100950.fa	Human				France			CNS infection	16
ERR1100972.fa	Human				France			MN infection	16
ERR1100973.fa	Human				France			MN infection	16
ERR1100975.fa	Human				France			MN infection	16
ERR1100976.fa	Human				France			MN infection	16
ERR1100956.fa	Food								
ERR1100957.fa	Food								
ERR1100977.fa									
	
